"","PlayerName","pos","points","value"
"1","Todd Gurley","rb",246.345,118.942250312427
"2","Le'Veon Bell","rb",232.98,106.667218770741
"3","Ezekiel Elliott","rb",229.58,103.544502179516
"4","David Johnson","rb",211.27,86.7277548897087
"5","Leonard Fournette","rb",195.115,71.8902588511053
"6","Melvin Gordon","rb",194.055,70.9167060314879
"7","Kareem Hunt","rb",191.415,68.4920084430067
"8","Antonio Brown","wr",134.605,62.7700895126137
"9","Dalvin Cook","rb",184.5,62.1409539640873
"10","Saquon Barkley","rb",183.37,61.1031099205329
"11","Alvin Kamara","rb",182.975,60.7403237283169
"12","Aaron Rodgers","qb",324.582,54.8723718749813
"13","Rob Gronkowski","te",108.28,52.1666297932898
"14","DeAndre Hopkins","wr",121.36,50.605271497677
"15","Devonta Freeman","rb",169.83,48.6673503190045
"16","Julio Jones","wr",114.175,44.006236583572
"17","Jordan Howard","rb",164.355,43.6388581610749
"18","Odell Beckham Jr.","wr",111.04,41.1269081972506
"19","Michael Thomas","wr",107.435,37.8159101644951
"20","Keenan Allen","wr",106.8,37.2326969187809
"21","Davante Adams","wr",106.8,37.2326969187809
"22","Tom Brady","qb",304.726,36.635706982223
"23","Travis Kelce","te",89.26,34.6977858035506
"24","A.J. Green","wr",101.43,32.3006415967567
"25","Russell Wilson","qb",299.362,31.7091623365364
"26","Tyreek Hill","wr",100.535,31.4786323764194
"27","LeSean McCoy","rb",150.81,31.1985063292653
"28","Alex Collins","rb",149.965,30.4224194117401
"29","Mike Evans","wr",97.84,29.0034202548449
"30","Derrick Henry","rb",147.73,28.3696924760373
"31","Joe Mixon","rb",147.485,28.1446731922578
"32","Jerick McKinnon","rb",145.55,26.3674800734278
"33","Zach Ertz","te",79.82,26.027655032618
"34","Doug Baldwin","wr",94.445,25.8852958939004
"35","Stephen Gostkowski","k",172.5,24.2366852229444
"36","Deshaun Watson","qb",288.998,22.1903874096353
"37","Stefon Diggs","wr",90.37,22.1426282147107
"38","Christian McCaffrey","rb",140.945,22.1380359844295
"39","T.Y. Hilton","wr",89.965,21.7706575619323
"40","Amari Cooper","wr",89.795,21.614521732371
"41","Cam Newton","qb",287.85,21.1360113370685
"42","JuJu Smith-Schuster","wr",88.93,20.820065893721
"43","Jay Ajayi","rb",139.25,20.5812699190978
"44","Marvin Jones","wr",86.675,18.7489700368933
"45","Jimmy Graham","te",71.63,18.5055818319889
"46","Adam Thielen","wr",86.075,18.1979024031476
"47","Brandin Cooks","wr",85.36,17.5412134729339
"48","Greg Zuerlein","k",165.1,17.4401844067472
"49","Drew Brees","qb",282.924,16.6117460640162
"50","Kenyan Drake","rb",134.805,16.4987771990983
"51","Evan Engram","te",69.31,16.3747869815055
"52","Demaryius Thomas","wr",83.58,15.9063794928217
"53","Greg Olsen","te",68.535,15.6629912879173
"54","Josh Gordon","wr",83.11,15.4747098463875
"55","Larry Fitzgerald","wr",82.09,14.5378948690198
"56","Justin Tucker","k",161.9,14.5011570267701
"57","Delanie Walker","te",66.84,14.1062252225856
"58","Allen Robinson","wr",81.22,13.7388468000885
"59","Chris Boswell","k",160.8,13.4908663649029
"60","Royce Freeman","rb",130.715,12.742332829065
"61","Kyle Rudolph","te",65.315,12.7055949868153
"62","Golden Tate","wr",79.99,12.6091581509098
"63","Matt Bryant","k",159.8,12.5724203086601
"64","Lamar Miller","rb",130.26,12.3244398734745
"65","Chris Hogan","wr",79.485,12.1453428925071
"66","Alshon Jeffery","wr",79.03,11.7274499369166
"67","Harrison Butker","k",157.8,10.7355281961744
"68","Michael Crabtree","wr",77.615,10.427848767333
"69","Marquise Goodwin","wr",77.425,10.2533440166468
"70","Devin Funchess","wr",76.89,9.76197537655691
"71","Jarvis Landry","wr",75.36,8.35675291050533
"72","Wil Lutz","k",154.6,7.79650081619718
"73","Sammy Watkins","wr",73.965,7.07552066204654
"74","Jake Elliott","k",153.8,7.06174397120291
"75","Robert Woods","wr",73.945,7.05715174092169
"76","Cooper Kupp","wr",73.38,6.53822971914446
"77","Robby Anderson","wr",73.275,6.44179288323897
"78","Jordan Reed","te",58.18,6.15248237552245
"79","Robbie Gould","k",152.2,5.59223028121431
"80","Randall Cobb","wr",72.26,5.50957013615246
"81","Jack Doyle","te",57.48,5.50957013615245
"82","Marshawn Lynch","rb",121.28,4.07679428841358
"83","Matt Prater","k",149.9,3.47980435185572
"84","Trey Burton","te",55.12,3.34203744341929
"85","Graham Gano","k",149.5,3.11242592935859
"86","Andrew Luck","qb",268.154,3.0462978133091
"87","Matthew Stafford","qb",267.778,2.70096209616176
"88","Carson Wentz","qb",267.434,2.38501665281427
"89","Ben Roethlisberger","qb",266.996,1.98273728017986
"90","Corey Davis","wr",67.555,1.1882814415298
"91","Alex Smith","qb",266.012,1.0789863608369
"92","Kirk Cousins","qb",265.926,1
"93","Mason Crosby","k",147.2,1
"94","Mark Ingram","rb",117.93,1
"95","Jamison Crowder","wr",67.35,1
"96","George Kittle","te",52.57,1
